--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:18:07 2022 
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'pid': 3976, 'username': None, 'vms': 1.76171875}
{'name': 'svchost.exe', 'pid': 4184, 'username': None, 'vms': 7.10546875}
{'name': 'svchost.exe', 'pid': 4212, 'username': None, 'vms': 3.3515625}
{'name': 'python3.10.exe', 'pid': 4268, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 11.30859375}
{'name': 'WmiPrvSE.exe', 'pid': 4300, 'username': None, 'vms': 19.296875}
{'name': 'spoolsv.exe', 'pid': 4344, 'username': None, 'vms': 8.81640625}
{'name': 'svchost.exe', 'pid': 4424, 'username': None, 'vms': 8.9296875}
{'name': 'svchost.exe', 'pid': 4468, 'username': None, 'vms': 4.92578125}
{'name': 'svchost.exe', 'pid': 4500, 'username': None, 'vms': 1.859375}
{'name': 'chrome.exe', 'pid': 4628, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 42.78515625}
{'name': 'wlanext.exe', 'pid': 4644, 'username': None, 'vms': 1.47265625}
{'name': 'conhost.exe', 'pid': 4652, 'username': None, 'vms': 5.171875}
{'name': 'svchost.exe', 'pid': 4832, 'username': None, 'vms': 5.21875}
{'name': 'svchost.exe', 'pid': 4844, 'username': None, 'vms': 18.59765625}
{'name': 'svchost.exe', 'pid': 4852, 'username': None, 'vms': 42.07421875}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 4872, 'username': None, 'vms': 38.8828125}
{'name': 'OfficeClickToRun.exe', 'pid': 4884, 'username': None, 'vms': 32.34375}
{'name': 'svchost.exe', 'pid': 4892, 'username': None, 'vms': 2.73828125}
{'name': 'esif_uf.exe', 'pid': 4916, 'username': None, 'vms': 1.93359375}
{'name': 'IntelAudioService.exe', 'pid': 4924, 'username': None, 'vms': 39.765625}
{'name': 'python3.10.exe', 'pid': 4932, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 11.40625}
{'name': 'svchost.exe', 'pid': 4964, 'username': None, 'vms': 2.99609375}
{'name': 'python3.10.exe', 'pid': 5004, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 23.1328125}
{'name': 'mfemms.exe', 'pid': 5052, 'username': None, 'vms': 7.88671875}
{'name': 'ModuleCoreService.exe', 'pid': 5084, 'username': None, 'vms': 8.4140625}
{'name': 'conhost.exe', 'pid': 5092, 'username': None, 'vms': 5.6875}
{'name': 'nvcontainer.exe', 'pid': 5124, 'username': None, 'vms': 12.1171875}
{'name': 'PEFService.exe', 'pid': 5148, 'username': None, 'vms': 18.20703125}
{'name': 'RstMwService.exe', 'pid': 5156, 'username': None, 'vms': 2.0625}
{'name': 'GoodixSessionService.exe', 'pid': 5180, 'username': None, 'vms': 0.765625}
{'name': 'RtkAudUService64.exe', 'pid': 5192, 'username': None, 'vms': 3.90625}
{'name': 'SmartByteAnalyticsService.exe', 'pid': 5200, 'username': None, 'vms': 1.3125}
{'name': 'SmartByteNetworkService.exe', 'pid': 5208, 'username': None, 'vms': 149.671875}
{'name': 'TbtP2pShortcutService.exe', 'pid': 5236, 'username': None, 'vms': 1.2578125}
{'name': 'WavesAudioService.exe', 'pid': 5252, 'username': None, 'vms': 12.82421875}
{'name': 'WavesSysSvc64.exe', 'pid': 5260, 'username': None, 'vms': 44.01171875}
{'name': 'WMIRegistrationService.exe', 'pid': 5268, 'username': None, 'vms': 2.6328125}
{'name': 'svchost.exe', 'pid': 5276, 'username': None, 'vms': 4.58203125}
{'name': 'cmd.exe', 'pid': 5384, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.3046875}
{'name': 'svchost.exe', 'pid': 5444, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 7.9140625}
{'name': 'svchost.exe', 'pid': 5476, 'username': None, 'vms': 2.4765625}
