--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:19:08 2022 
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'svchost.exe', 'pid': 21668, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.16796875}
{'name': 'Code.exe', 'pid': 21856, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 18.73046875}
{'name': 'chrome.exe', 'pid': 21968, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 114.25390625}
{'name': 'WavesSvc64.exe', 'pid': 22060, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 641.52734375}
{'name': 'Zoom.exe', 'pid': 22264, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 471.10546875}
{'name': 'aomhost64.exe', 'pid': 22344, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 120.0}
{'name': 'chrome.exe', 'pid': 22392, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 473.10546875}
{'name': 'chrome.exe', 'pid': 22440, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 47.91796875}
{'name': 'Zoom.exe', 'pid': 22456, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 101.51171875}
{'name': 'conhost.exe', 'pid': 22592, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.3203125}
{'name': 'chrome.exe', 'pid': 22696, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 33.43359375}
{'name': 'NVIDIA Web Helper.exe', 'pid': 22836, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 35.69140625}
{'name': 'UserOOBEBroker.exe', 'pid': 23176, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 1.96875}
{'name': 'RuntimeBroker.exe', 'pid': 23196, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 1.4140625}
{'name': 'msedgewebview2.exe', 'pid': 23224, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 37.8203125}
{'name': 'conhost.exe', 'pid': 23388, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 5.30859375}
{'name': 'fontdrvhost.exe', 'pid': 23392, 'username': None, 'vms': 2.3359375}
{'name': 'msedgewebview2.exe', 'pid': 23448, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.0390625}
{'name': 'chrome.exe', 'pid': 23560, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 28.984375}
{'name': 'McUICnt.exe', 'pid': 23820, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 10.78515625}
