--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:14:56 2022 
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': None, 'pid': 3976, 'vms': 1.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4184, 'vms': 7.1171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4212, 'vms': 3.3515625}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 4268, 'vms': 11.3359375}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4300, 'vms': 19.26953125}
{'name': 'spoolsv.exe', 'username': None, 'pid': 4344, 'vms': 8.81640625}
{'name': 'svchost.exe', 'username': None, 'pid': 4424, 'vms': 9.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 4468, 'vms': 5.125}
{'name': 'svchost.exe', 'username': None, 'pid': 4500, 'vms': 1.875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 4628, 'vms': 42.48828125}
{'name': 'wlanext.exe', 'username': None, 'pid': 4644, 'vms': 1.4453125}
{'name': 'conhost.exe', 'username': None, 'pid': 4652, 'vms': 5.171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4832, 'vms': 5.55859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4844, 'vms': 19.20703125}
{'name': 'svchost.exe', 'username': None, 'pid': 4852, 'vms': 42.015625}
{'name': 'OneApp.IGCC.WinService.exe', 'username': None, 'pid': 4872, 'vms': 39.0078125}
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 4884, 'vms': 32.3515625}
{'name': 'svchost.exe', 'username': None, 'pid': 4892, 'vms': 2.9296875}
{'name': 'esif_uf.exe', 'username': None, 'pid': 4916, 'vms': 1.93359375}
{'name': 'IntelAudioService.exe', 'username': None, 'pid': 4924, 'vms': 39.765625}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 4932, 'vms': 11.40625}
{'name': 'svchost.exe', 'username': None, 'pid': 4964, 'vms': 2.99609375}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5004, 'vms': 23.1328125}
{'name': 'mfemms.exe', 'username': None, 'pid': 5052, 'vms': 7.6015625}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 5084, 'vms': 8.4140625}
{'name': 'conhost.exe', 'username': None, 'pid': 5092, 'vms': 5.6875}
{'name': 'nvcontainer.exe', 'username': None, 'pid': 5124, 'vms': 12.17578125}
{'name': 'PEFService.exe', 'username': None, 'pid': 5148, 'vms': 18.20703125}
{'name': 'RstMwService.exe', 'username': None, 'pid': 5156, 'vms': 2.0625}
{'name': 'GoodixSessionService.exe', 'username': None, 'pid': 5180, 'vms': 0.765625}
{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 5192, 'vms': 3.90625}
{'name': 'SmartByteAnalyticsService.exe', 'username': None, 'pid': 5200, 'vms': 1.3125}
{'name': 'SmartByteNetworkService.exe', 'username': None, 'pid': 5208, 'vms': 149.69921875}
{'name': 'TbtP2pShortcutService.exe', 'username': None, 'pid': 5236, 'vms': 1.2578125}
{'name': 'WavesAudioService.exe', 'username': None, 'pid': 5252, 'vms': 12.82421875}
{'name': 'WavesSysSvc64.exe', 'username': None, 'pid': 5260, 'vms': 44.01171875}
{'name': 'WMIRegistrationService.exe', 'username': None, 'pid': 5268, 'vms': 2.6328125}
{'name': 'svchost.exe', 'username': None, 'pid': 5276, 'vms': 4.58203125}
{'name': 'cmd.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5384, 'vms': 2.3046875}
{'name': 'svchost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5444, 'vms': 7.8515625}
{'name': 'svchost.exe', 'username': None, 'pid': 5476, 'vms': 2.41015625}
{'name': 'svchost.exe', 'username': None, 'pid': 5488, 'vms': 8.4765625}
{'name': 'CptHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 5588, 'vms': 7.16796875}
{'name': 'jhi_service.exe', 'username': None, 'pid': 5984, 'vms': 1.25}
{'name': 'svchost.exe', 'username': None, 'pid': 6036, 'vms': 2.48046875}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 6132, 'vms': 157.05078125}
{'name': 'svchost.exe', 'username': None, 'pid': 6284, 'vms': 1.6015625}
{'name': 'AggregatorHost.exe', 'username': None, 'pid': 6516, 'vms': 1.328125}
{'name': 'RAPSService.exe', 'username': None, 'pid': 6548, 'vms': 14.421875}
{'name': 'MMSSHOST.exe', 'username': None, 'pid': 6636, 'vms': 42.3359375}
{'name': 'DDVDataCollector.exe', 'username': None, 'pid': 6660, 'vms': 61.734375}
{'name': 'mfevtps.exe', 'username': None, 'pid': 6688, 'vms': 9.859375}
{'name': 'RAPS.exe', 'username': None, 'pid': 6792, 'vms': 6.08203125}
{'name': 'ProtectedModuleHost.exe', 'username': None, 'pid': 6816, 'vms': 5.38671875}
{'name': 'conhost.exe', 'username': None, 'pid': 6836, 'vms': 5.69140625}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7044, 'vms': 207.6796875}
{'name': 'DDVRulesProcessor.exe', 'username': None, 'pid': 7108, 'vms': 19.13671875}
{'name': 'powershell.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7220, 'vms': 50.7109375}
{'name': 'ctfmon.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7224, 'vms': 5.140625}
{'name': 'python.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7228, 'vms': 9.65234375}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7256, 'vms': 7.71875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7272, 'vms': 2.1484375}
{'name': 'SearchProtocolHost.exe', 'username': None, 'pid': 7280, 'vms': 2.578125}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7328, 'vms': 116.0234375}
{'name': 'ModuleCoreService.exe', 'username': None, 'pid': 7392, 'vms': 54.75390625}
{'name': 'conhost.exe', 'username': None, 'pid': 7420, 'vms': 5.18359375}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 7484, 'vms': 6.87109375}
{'name': 'svchost.exe', 'username': None, 'pid': 7516, 'vms': 3.5703125}
{'name': 'python3.10.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7556, 'vms': 24.23828125}
{'name': 'igfxEMN.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7784, 'vms': 3.45703125}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 7788, 'vms': 47.85546875}
{'name': 'MoNotificationUx.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8000, 'vms': 4.046875}
{'name': 'svchost.exe', 'username': None, 'pid': 8140, 'vms': 1.84375}
{'name': 'StartMenuExperienceHost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8244, 'vms': 35.33203125}
{'name': 'McCSPServiceHost.exe', 'username': None, 'pid': 8256, 'vms': 9.13671875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8412, 'vms': 11.9140625}
{'name': 'powershell.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8504, 'vms': 50.59765625}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8528, 'vms': 2.3359375}
{'name': 'dllhost.exe', 'username': None, 'pid': 8752, 'vms': 3.9375}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8840, 'vms': 5.3125}
{'name': 'DDVCollectorSvcApi.exe', 'username': None, 'pid': 8896, 'vms': 1.86328125}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 8996, 'vms': 5.70703125}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9056, 'vms': 6.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 9392, 'vms': 5.41796875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9404, 'vms': 163.84375}
{'name': 'conhost.exe', 'username': None, 'pid': 9540, 'vms': 5.67578125}
{'name': 'csrss.exe', 'username': None, 'pid': 9620, 'vms': 2.91015625}
{'name': 'svchost.exe', 'username': None, 'pid': 9740, 'vms': 6.58984375}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9856, 'vms': 41.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 9876, 'vms': 1.984375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 9964, 'vms': 114.30078125}
{'name': 'svchost.exe', 'username': None, 'pid': 10096, 'vms': 14.265625}
{'name': 'svchost.exe', 'username': None, 'pid': 10144, 'vms': 2.8046875}
{'name': 'Microsoft.Notes.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10320, 'vms': 59.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 10508, 'vms': 3.71484375}
{'name': 'Widgets.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10580, 'vms': 8.13671875}
{'name': 'svchost.exe', 'username': None, 'pid': 10804, 'vms': 3.14453125}
{'name': 'conhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10932, 'vms': 1.26953125}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 10980, 'vms': 6.09765625}
{'name': 'mcapexe.exe', 'username': None, 'pid': 11144, 'vms': 3.30078125}
{'name': 'SecurityHealthSystray.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11224, 'vms': 1.734375}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11244, 'vms': 10.48828125}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11284, 'vms': 113.55078125}
{'name': 'dllhost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11484, 'vms': 6.31640625}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11508, 'vms': 67.97265625}
{'name': 'mcshield.exe', 'username': None, 'pid': 11540, 'vms': 90.1875}
{'name': 'audiodg.exe', 'username': None, 'pid': 11720, 'vms': 242.9921875}
{'name': 'Dell.D3.WinSvc.exe', 'username': None, 'pid': 11848, 'vms': 128.30078125}
{'name': 'SystemSettings.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 11876, 'vms': 61.37109375}
{'name': 'svchost.exe', 'username': None, 'pid': 12136, 'vms': 6.765625}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12228, 'vms': 36.59375}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12308, 'vms': 62.48046875}
{'name': 'SearchIndexer.exe', 'username': None, 'pid': 12708, 'vms': 30.3046875}
{'name': 'uihost.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12864, 'vms': 13.953125}
{'name': 'Code.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 12904, 'vms': 99.5078125}
{'name': 'ServiceShell.exe', 'username': None, 'pid': 13012, 'vms': 71.38671875}
{'name': 'cmd.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13048, 'vms': 2.1015625}
{'name': 'msedgewebview2.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13084, 'vms': 61.6796875}
{'name': 'MoUsoCoreWorker.exe', 'username': None, 'pid': 13120, 'vms': 15.69921875}
{'name': 'chrome.exe', 'username': 'DESKTOP-KLVQ63E\\Sayali', 'pid': 13128, 'vms': 57.62890625}
